id,label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio,number_of_token_creation_of_creator
0x81bfe1a6d158d4c4ee718057f6456f3bc69a8678,True,0.884413527666438,0.884413527666438,0.015873015873015872,0.9682539682539683,0.015873015873015872,0.0,0.08132282428551547,0.9883860683425477,41.567435800322585,12.381789387330132,3.1333333333333333,100.0,0.0,0.992848015,0.007151985,0.0,0.153005757,1
0x7c9eb13bfed85e19b00404e7ca363898333abf97,True,0.5414265623083678,0.0,0.08333333333333333,0.9166666666666666,0.0,0.0,0.4342243713506517,0.0,4.872839060775311,1.0828531246167357,3.0,100.0,0.0,0.992907801,0.007092199,0.0,0.6989,1
0xfb6355ced2efddabd2d7e60b84d2d6eac8c225f2,True,0.5867731551281529,0.5867731551281529,0.006802721088435374,0.9863945578231292,0.006802721088435374,0.0,0.013516559370025497,1.0,47.52862556538039,37.55348192820178,1.2461538461538462,100.0,0.0,0.993344061,0.006655939,0.0,0.313641568,2
0x084c3d69f034adc05258708ef5b577decdba57e8,True,0.7786659937454375,0.7786659937454375,0.041666666666666664,0.9166666666666666,0.041666666666666664,0.0,0.06570183755736914,0.999447394903236,13.237321893672437,3.8933299687271874,2.8333333333333335,100.0,0.0,0.993357888,0.006642112,0.0,0.293785646,1
0xc0dec0160466edfa47fb325c86cba9a80f562cfa,True,0.9106815355102558,0.9106815355102558,0.034482758620689655,0.9310344827586207,0.034482758620689655,0.0,0.06362318351933646,0.9991739438281804,22.767038387756394,1.8213630710205115,8.333333333333334,100.0,0.0,0.9933697,0.0066303,0.0,0.16935779,1
0x1ad24816ffb8851171d2e76d1954bfe77f7614f9,True,0.5574918030822439,0.5574918030822439,0.0031847133757961785,0.9936305732484076,0.0031847133757961785,0.0,0.01162148819207639,1.0,72.4739344006917,101.46350816096839,0.7103825136612022,100.0,0.0,0.993997037,0.006002963,0.065217391,0.010144928,1
0x5f562714e5462dbe93252cea921e5a02c1a66a68,True,0.7988777669464323,0.7988777669464323,0.002173913043478261,0.9956521739130435,0.002173913043478261,0.0,0.032194506836899554,1.0,169.36208659264366,196.52393066882235,0.8582995951417004,100.0,0.0,0.993999459,0.006000541,0.0,0.0,1
0xee29bab40336acf8216f67aa1d96bb92e7f8c24e,True,1.4318741144007756,0.7159370572003878,0.03773584905660377,0.9433962264150944,0.018867924528301886,0.0880537740606,0.14295298936937162,0.38792417290710807,21.478111716011636,14.318741144007756,1.4285714285714286,100.0,0.0,0.994000723,0.005999277,0.0,-1.0,3
0xa944851157d040d68ab447800abb6277862908cc,True,0.9912657814986667,0.9912657814986667,0.058823529411764705,0.8823529411764706,0.058823529411764705,0.0,0.1985363107524864,0.4040157628072809,14.86898672248,0.0,15.0,100.0,0.0,0.994009,0.005991,0.0,0.0,8
0xbf4cdf390969e654ea928e93ecc1c6346843a547,True,0.8213764302447968,0.8213764302447968,0.058823529411764705,0.8823529411764706,0.058823529411764705,0.0,0.2778939365139707,1.0,12.320646453671952,0.0,15.0,100.0,0.0,0.994009,0.005991,0.017138123,0.000251902,1
